Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C21, C23, C24, C25, C26, C27, C28, C31, C7",0402,13,100n,C307331
"C10, C11, C12, C20, C22, C3, C32, C33, C4, C5, C6, C8, C9",0402,13,1uF, C52923
"C13, C14",0402,2,15p,C1548
"C15, C16, C2, C29, C30, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49",0402,21,10u,C23733
"D1, D2, D3",D_SOD-123,3,MBR0530, C8598
"D4, D5",D_SOD-923,2,ESD9B3.3ST5G,C3021104
D6,D_SOD-323,1,LBAT54HT1G,C12744
J11,BatteryHolder_Multicomp_BC-2001_1x2032,1,BAT-HLD-001-THM,C2979177
J2,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Conn_01x24,C262669
J5,USB_Micro-B_Wuerth_614105150721_Vertical,1,USB_B_Micro,C668588
L1,1210,1,68uH,C295164
"Q1, Q3",SOT-23,2,AO3400A,C20917
Q2,SOT-23,1,AO3401A,C15127
"R1, R10, R13, R14",0402,4,10k,C25744
"R11, R9",0402,2,47k, C25792
R2,0402,1,3,C321178
"R4, R6",0402,2,1k,C11702
R5,0402,1,DNF,dnf
"R7, R8",0402,2,27,C25100
"SW1, SW3, SW6",SW_SPST_Omron_B3FS-100xP,3,SW_Omron_B3FS,C5127964
SW2,SW_SPST_TL3342,1,SW_MEC_5E,C318884
TP1,display,1,TestPoint,dnf
U1,SOT-23-5,1,MCP1802x-xx02xOT, C7419952
U4,SON50P300X200X60-9N,1,ZD25WQ32CEIGR,C5258281
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3, C9002
