Designator,Mid X,Mid Y,Rotation,Layer
C1,159.23,-115.03,90.0,top
C10,147.92,-110.36,180.0,top
C11,147.92,-102.03,180.0,top
C12,147.92,-103.08,180.0,top
C13,154.359889,-107.63466,270.0,top
C14,156.52,-111.135195,0.0,top
C15,164.95,-116.8,0.0,top
C16,162.61,-111.44,180.0,top
C17,164.5,-104.635195,45.0,top
C18,162.75,-99.885195,45.0,top
C19,156.75,-109.635195,315.0,top
C2,149.88982,-118.015462,180.0,top
C20,165.0,-102.135195,45.0,top
C21,163.0,-106.135195,225.0,top
C22,163.75,-106.885195,225.0,top
C23,161.0,-108.885195,315.0,top
C24,161.75,-108.135195,315.0,top
C25,149.88982,-120.5,0.0,top
C26,149.88982,-119.393332,0.0,top
C27,157.2,-98.085195,180.0,top
C28,165.5,-93.9,0.0,top
C29,146.25,-96.5,270.0,top
C3,147.92,-114.26,180.0,top
C30,152.5,-96.5,270.0,top
C31,164.99,-117.94,180.0,top
C32,149.88982,-116.908796,180.0,top
C33,164.08,-120.95,180.0,top
C34,147.333334,-96.48,270.0,top
C35,148.416667,-96.48,270.0,top
C36,149.5,-96.48,270.0,top
C37,149.5,-94.57,90.0,top
C38,150.583334,-96.48,270.0,top
C39,147.333334,-94.57,90.0,top
C4,147.92,-113.285,180.0,top
C40,148.416667,-94.57,90.0,top
C41,154.666667,-94.52,90.0,top
C42,155.75,-94.52,90.0,top
C43,156.833334,-94.52,90.0,top
C44,153.583334,-94.52,90.0,top
C45,156.833334,-96.52,270.0,top
C46,154.666667,-96.54,270.0,top
C47,155.75,-96.52,270.0,top
C48,150.583334,-94.57,90.0,top
C49,153.583334,-96.52,270.0,top
C5,147.92,-111.335,180.0,top
C6,147.92,-112.31,180.0,top
C7,147.92,-107.385,180.0,top
C8,147.92,-108.41,180.0,top
C9,147.92,-109.385,180.0,top
D1,160.9,-114.67,270.0,top
D2,158.075,-118.42,270.0,top
D3,155.6,-118.42,90.0,top
D4,170.43,-102.52,90.0,top
D5,169.975,-105.525,180.0,top
D6,156.15,-91.725,90.0,top
J11,148.45,-105.9,270.0,bottom
J2,142.45,-105.985195,270.0,top
J5,172.82,-105.3825,270.0,bottom
L1,161.59,-118.69,180.0,top
Q1,156.6025,-114.25,180.0,top
Q2,147.10625,-118.3175,270.0,top
Q3,143.53125,-119.4425,90.0,top
R1,153.47,-113.04,0.0,top
R10,142.25,-116.75,180.0,top
R11,144.25,-116.75,180.0,top
R13,166.75,-96.8,270.0,top
R14,168.6,-119.84,90.0,top
R2,153.47,-114.19,0.0,top
R4,163.5,-92.635195,0.0,top
R5,163.5,-93.885195,180.0,top
R6,155.4,-107.635195,270.0,top
R7,163.5,-100.635195,225.0,top
R8,164.25,-101.385195,225.0,top
R9,146.30625,-120.8175,0.0,top
SW1,166.36,-116.75,270.0,bottom
SW2,158.67,-93.02,180.0,bottom
SW3,166.36,-105.8325,90.0,bottom
SW6,166.36,-95.0,90.0,bottom
TP1,203.17,-105.15,0.0,top
U1,164.1675,-114.16,270.0,top
U4,163.5,-95.885195,0.0,top
U5,158.8125,-103.685195,45.0,top
Y1,153.5,-110.385195,0.0,top
